Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-113.57956 53.55112),"53.551","-113.58",Canada,0.01,"5"
POINT(-112.80151 49.70561),"49.706","-112.802",Canada,0.009,"3"
POINT(-113.87265 52.28479),"52.285","-113.873",Canada,0.019,"19"
POINT(-110.82604 52.81724),"52.817","-110.826",Canada,2.841,"38"
POINT(-118.69853 55.75554),"55.756","-118.699",Canada,0.224,"5"
POINT(-113.64627 53.54134),"53.541","-113.646",Canada,0.033,"9"
POINT(-113.59847 53.39574),"53.396","-113.598",Canada,0.075,"5"
POINT(-111.76816 50.50339),"50.503","-111.768",Canada,1.53,"8"
POINT(-113.67852 52.34684),"52.347","-113.679",Canada,2.699,"35"
POINT(-112.13647 52.8299),"52.83","-112.136",Canada,0.064,"4"
POINT(-113.3686 53.4793),"53.479","-113.369",Canada,0.006,"3"
POINT(-113.57749 53.56572),"53.566","-113.577",Canada,0.015,"3"
POINT(-113.46615 53.47419),"53.474","-113.466",Canada,0.016,"5"
POINT(-113.44583 53.54128),"53.541","-113.446",Canada,0.092,"3"
POINT(-113.479 53.45237),"53.452","-113.479",Canada,0.04,"4"
POINT(-117.61044 56.19196),"56.192","-117.61",Canada,0.423,"46"
POINT(-113.51192 53.49985),"53.5","-113.512",Canada,0.019,"3"
POINT(-113.59915 53.44455),"53.445","-113.599",Canada,0.018,"3"
POINT(-113.48778 53.4676),"53.468","-113.488",Canada,0.19,"16"
POINT(-113.57787 53.56678),"53.567","-113.578",Canada,0.204,"24"
POINT(-113.63891 53.57439),"53.574","-113.639",Canada,0.005,"3"
POINT(-113.60247 53.55099),"53.551","-113.602",Canada,0.008,"3"
POINT(-113.85023 53.26504),"53.265","-113.85",Canada,1.335,"40"
POINT(-113.48231 53.44241),"53.442","-113.482",Canada,0.501,"13"
POINT(-113.63962 53.55918),"53.559","-113.64",Canada,0.071,"10"
POINT(-113.5514 53.55898),"53.559","-113.551",Canada,0.031,"12"
POINT(-113.48641 53.46814),"53.468","-113.486",Canada,0.023,"4"
POINT(-113.55147 53.56272),"53.563","-113.551",Canada,0.024,"5"
POINT(-114.06989 52.32138),"52.321","-114.07",Canada,0.139,"3"
POINT(-113.63944 53.57038),"53.57","-113.639",Canada,0.014,"3"
POINT(-113.38631 53.5936),"53.594","-113.386",Canada,0.152,"8"
POINT(-112.77747 53.81778),"53.818","-112.777",Canada,1.595,"14"
POINT(-114.06401 51.00871),"51.009","-114.064",Canada,0.229,"24"
POINT(-114.06166 51.01583),"51.016","-114.062",Canada,0.137,"9"
POINT(-114.03496 51.01316),"51.013","-114.035",Canada,0.051,"3"
