Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-116.99851 32.51361),"32.514","-116.999",Mexico,0.111,"9"
POINT(-116.89683 32.51219),"32.512","-116.897",Mexico,0.037,"5"
POINT(-117.03243 32.47445),"32.474","-117.032",Mexico,0.01,"4"
POINT(-116.94769 32.54485),"32.545","-116.948",Mexico,0.029,"18"
POINT(-116.88106 32.48714),"32.487","-116.881",Mexico,0.026,"5"
POINT(-116.93787 32.48866),"32.489","-116.938",Mexico,0.078,"9"
POINT(-116.88972 32.46077),"32.461","-116.89",Mexico,0.017,"3"
POINT(-116.88566 32.5137),"32.514","-116.886",Mexico,0.064,"5"
POINT(-117.02977 32.4307),"32.431","-117.03",Mexico,0.117,"7"
POINT(-116.88023 32.45854),"32.459","-116.88",Mexico,0.194,"6"
POINT(-116.93044 32.51862),"32.519","-116.93",Mexico,0.145,"6"
POINT(-116.88688 32.52427),"32.524","-116.887",Mexico,0.067,"14"
POINT(-116.91432 32.54208),"32.542","-116.914",Mexico,0.03,"3"
POINT(-117.03356 32.53832),"32.538","-117.034",Mexico,0.173,"10"
POINT(-117.04334 32.48003),"32.48","-117.043",Mexico,0.068,"7"
POINT(-116.99142 32.51051),"32.511","-116.991",Mexico,0.029,"7"
POINT(-117.03391 32.53567),"32.536","-117.034",Mexico,0.019,"3"
POINT(-116.89008 32.51494),"32.515","-116.89",Mexico,0.093,"7"
POINT(-116.98843 32.51991),"32.52","-116.988",Mexico,0.019,"3"
POINT(-116.89974 32.53791),"32.538","-116.9",Mexico,0.02,"4"
POINT(-117.00525 32.51756),"32.518","-117.005",Mexico,0.118,"20"
POINT(-116.89103 32.51471),"32.515","-116.891",Mexico,0.214,"10"
POINT(-117.04798 32.48248),"32.482","-117.048",Mexico,0.122,"17"
POINT(-116.88162 32.46147),"32.461","-116.882",Mexico,0.019,"7"
POINT(-116.9861 32.49849),"32.498","-116.986",Mexico,0.074,"5"
POINT(-117.02794 32.5269),"32.527","-117.028",Mexico,0.01,"3"
POINT(-117.00915 32.51766),"32.518","-117.009",Mexico,0.044,"13"
POINT(-117.03241 32.52289),"32.523","-117.032",Mexico,0.062,"6"
POINT(-116.84703 32.49059),"32.491","-116.847",Mexico,0.062,"4"
POINT(-116.99422 32.50955),"32.51","-116.994",Mexico,0.037,"3"
POINT(-116.91211 32.52901),"32.529","-116.912",Mexico,0.057,"6"
POINT(-116.88946 32.505),"32.505","-116.889",Mexico,0.12,"5"
POINT(-117.04892 32.48269),"32.483","-117.049",Mexico,0.024,"3"
POINT(-116.88835 32.52432),"32.524","-116.888",Mexico,0.046,"5"
POINT(-117.01202 32.51598),"32.516","-117.012",Mexico,0.053,"26"
POINT(-117.00822 32.52571),"32.526","-117.008",Mexico,0.015,"3"
POINT(-116.93397 32.53446),"32.534","-116.934",Mexico,0.03,"5"
POINT(-116.99943 32.51842),"32.518","-116.999",Mexico,0.006,"3"
POINT(-117.03359 32.47531),"32.475","-117.034",Mexico,0.018,"3"
POINT(-116.90222 32.5111),"32.511","-116.902",Mexico,0.039,"6"
POINT(-116.89261 32.49854),"32.499","-116.893",Mexico,0.018,"3"
POINT(-116.98461 32.45696),"32.457","-116.985",Mexico,0.415,"13"
POINT(-116.89082 32.51347),"32.513","-116.891",Mexico,0.036,"5"
POINT(-116.96541 32.46086),"32.461","-116.965",Mexico,0.054,"4"
POINT(-117.01182 32.51877),"32.519","-117.012",Mexico,0.043,"17"
POINT(-117.02474 32.44392),"32.444","-117.025",Mexico,0.114,"5"
POINT(-116.96696 32.45934),"32.459","-116.967",Mexico,0.19,"17"
POINT(-117.05029 32.48312),"32.483","-117.05",Mexico,0.065,"18"
POINT(-116.96134 32.54795),"32.548","-116.961",Mexico,0.015,"5"
POINT(-116.97942 32.51002),"32.51","-116.979",Mexico,0.018,"4"
POINT(-117.01844 32.52391),"32.524","-117.018",Mexico,0.027,"4"
POINT(-116.95792 32.50525),"32.505","-116.958",Mexico,0.023,"14"
POINT(-116.92945 32.50758),"32.508","-116.929",Mexico,0.094,"3"
POINT(-117.00934 32.51527),"32.515","-117.009",Mexico,0.016,"3"
POINT(-116.90847 32.53643),"32.536","-116.908",Mexico,0.176,"7"
POINT(-116.98703 32.51226),"32.512","-116.987",Mexico,0.02,"3"
POINT(-117.01367 32.52262),"32.523","-117.014",Mexico,0.023,"8"
POINT(-116.97897 32.49767),"32.498","-116.979",Mexico,0.052,"3"
POINT(-116.86088 32.46381),"32.464","-116.861",Mexico,0.124,"15"
POINT(-116.98233 32.44804),"32.448","-116.982",Mexico,0.213,"13"
POINT(-117.04496 32.48076),"32.481","-117.045",Mexico,0.077,"8"
POINT(-116.97196 32.52987),"32.53","-116.972",Mexico,0.016,"3"
POINT(-116.8609 32.49545),"32.495","-116.861",Mexico,0.012,"3"
POINT(-117.02568 32.52259),"32.523","-117.026",Mexico,0.03,"7"
POINT(-116.87674 32.44403),"32.444","-116.877",Mexico,0.169,"5"
POINT(-116.98408 32.50917),"32.509","-116.984",Mexico,0.023,"8"
POINT(-116.91754 32.4707),"32.471","-116.918",Mexico,0.016,"7"
POINT(-116.98441 32.5106),"32.511","-116.984",Mexico,0.081,"14"
POINT(-117.03283 32.53786),"32.538","-117.033",Mexico,0.015,"3"
POINT(-116.92961 32.51902),"32.519","-116.93",Mexico,0.038,"4"
